Region,Year,MenB,MenC,Known serogroup,Total cases,Pop,MenB per 100000,MenC per 100000,Known serogroup per 100000,Total cases per 100000
Puglia,2022,1,0,2,2,3922941.0,0.025491079269354292,0.0,0.050982158538708584,0.050982158538708584
Puglia,2023,1,0,2,3,3907683.0,0.025590612135119456,0.0,0.05118122427023891,0.07677183640535837
Sardegna,2014,3,0,3,3,1652528.0,0.18154004047132635,0.0,0.18154004047132635,0.18154004047132635
Sardegna,2015,1,1,2,4,1648642.0,0.06065598231756803,0.06065598231756803,0.12131196463513606,0.24262392927027213
Sardegna,2016,3,1,5,5,1642492.0,0.1826492914425154,0.06088309714750514,0.3044154857375257,0.3044154857375257
Sardegna,2017,1,1,4,4,1636839.0,0.061093363489017546,0.061093363489017546,0.24437345395607019,0.24437345395607019
Sardegna,2018,8,0,9,9,1631040.0,0.4904845987835982,0.0,0.551795173631548,0.551795173631548
Sardegna,2019,4,1,7,9,1622257.0,0.24657005640906463,0.061642514102266156,0.43149759871586313,0.5547826269203955
Sardegna,2020,0,1,2,3,1611621.0,0.0,0.06204932797475337,0.12409865594950674,0.1861479839242601
Sardegna,2021,0,0,0,1,1590044.0,0.0,0.0,0.0,0.06289134137168531
Sardegna,2022,1,0,1,1,1587413.0,0.0629955783403563,0.0,0.0629955783403563,0.0629955783403563
Sardegna,2023,1,0,1,1,1578146.0,0.06336549343343391,0.0,0.06336549343343391,0.06336549343343391
Sicilia,2014,0,0,3,12,5041754.0,0.0,0.0,0.05950310149999385,0.2380124059999754
Sicilia,2015,3,2,6,13,5028266.0,0.05966271474102604,0.03977514316068402,0.11932542948205208,0.25853843054444614
Sicilia,2016,1,2,5,8,5004400.0,0.019982415474382544,0.03996483094876509,0.09991207737191271,0.15985932379506035
Sicilia,2017,5,1,6,11,4977900.0,0.10044396231342534,0.02008879246268507,0.1205327547761104,0.22097671708953576
Sicilia,2018,4,0,4,6,4942188.0,0.08093581223539048,0.0,0.08093581223539048,0.12140371835308572
Sicilia,2019,1,1,2,5,4908548.0,0.020372623431613585,0.020372623431613585,0.04074524686322717,0.10186311715806792
Sicilia,2020,1,0,1,3,4875290.0,0.02051160033556978,0.0,0.02051160033556978,0.06153480100670934
Sicilia,2021,0,0,0,0,4833705.0,0.0,0.0,0.0,0.0
Sicilia,2022,2,0,2,2,4833329.0,0.04137934744355288,0.0,0.04137934744355288,0.04137934744355288
Sicilia,2023,4,0,4,5,4814016.0,0.08309070846461665,0.0,0.08309070846461665,0.10386338558077081
